,interview,task,numfixations,fixationrate,meanfixationduration,stddevfixationduration,sumfixationduration
238,EO-080,PupilCalib,17,0.00125935254463,399.882352941,306.247629042,6798
239,EO-083,EO-083_allsc,47,0.000259108776069,159.361702128,111.749608604,7490
240,EO-083,Reading,18,0.000356470937717,138.833333333,77.7842037495,2499
241,EO-083,Memory,10,0.000133168204759,170.0,125.166555703,1700
242,EO-083,CookieTheft,9,0.000201771101894,132.444444444,71.230455409,1192
243,EO-083,PupilCalib,10,0.000893016610109,209.9,166.406764019,2099
244,EO-091,EO-091_allsc,91,0.000379969351923,436.417582418,728.716086551,39714
245,EO-091,Reading,25,0.000440963770417,436.0,810.802072025,10900
246,EO-091,Memory,23,0.000244683454079,400.0,370.503343133,9200
247,EO-091,CookieTheft,41,0.000513784461153,449.12195122,848.88453853,18414
248,EO-091,PupilCalib,2,0.000222222222222,600.0,282.842712475,1200
249,EO-094,EO-094_allsc,120,0.000323710149932,192.325,217.019387373,23079
250,EO-094,Reading,18,0.000295072292712,194.388888889,116.071549379,3499
251,EO-094,Memory,66,0.000279070947446,137.606060606,87.4176322274,9082
252,EO-094,CookieTheft,27,0.000429922613929,240.703703704,248.492967679,6499
253,EO-094,PupilCalib,9,0.000865467833446,444.333333333,552.371251967,3999
254,EO-143,EO-143_allsc,160,0.000985233808298,367.39375,336.161893778,58783
255,EO-143,Reading,7,0.00140028005601,428.428571429,474.753219102,2999
256,EO-143,Memory,49,0.00100200400802,320.183673469,248.231467374,15689
257,EO-143,CookieTheft,93,0.000957795217203,358.032258065,285.641971539,33297
258,EO-143,PupilCalib,11,0.000964996929555,618.0,729.180224636,6798
259,EO-166,EO-166_allsc,120,0.000493847483436,303.358333333,315.874743706,36403
260,EO-166,Reading,40,0.000616399303469,220.175,219.695813891,8807
261,EO-166,Memory,23,0.000434790827804,221.782608696,185.728040797,5101
262,EO-166,CookieTheft,42,0.000375674201021,354.69047619,392.736086406,14897
263,EO-166,PupilCalib,15,0.00111948652885,506.533333333,353.408073856,7598
264,EO-182,EO-182_allsc,99,0.000795794347449,318.070707071,317.406526576,31489
265,EO-182,Reading,41,0.000585705918487,246.292682927,212.104837746,10098
266,EO-182,CookieTheft,47,0.00111894105323,291.319148936,287.643356046,13692
267,EO-182,PupilCalib,11,0.000887168320026,699.909090909,491.833397513,7699
268,EO-186,EO-186_allsc,189,0.000530907824289,187.82010582,150.569025021,35498
269,EO-186,Reading,86,0.000437427519277,177.709302326,147.552731653,15283
270,EO-186,Memory,22,0.000421496311907,195.454545455,170.370108957,4300
271,EO-186,CookieTheft,66,0.000729305943843,165.378787879,88.3826932504,10915
272,EO-186,PupilCalib,15,0.000898311174991,333.333333333,258.198889747,5000
273,ER-017,ER-017_allsc,102,0.000447582396848,331.352941176,496.30784616,33798
274,ER-017,Reading,4,0.00014287245062,1325.25,2187.39195924,5301
275,ER-017,Memory,1,1.27066417616e-05,100.0,0.0,100
276,ER-017,CookieTheft,97,0.000800363051281,292.75257732,257.694911302,28397
277,ER-040,ER-040_allsc,38,0.000144484494532,339.421052632,382.324019336,12898
278,ER-040,Reading,2,3.63616530007e-05,150.0,70.7106781187,300
279,ER-040,Memory,24,0.000186190845617,387.416666667,403.58188832,9298
280,ER-040,CookieTheft,11,0.000158723287592,172.818181818,101.031498239,1901
281,ER-040,PupilCalib,1,0.000102061645234,1399.0,0.0,1399
282,ER-059,ER-059_allsc,246,0.000732786226002,291.081300813,244.625114051,71606
283,ER-059,Reading,48,0.00045539068726,248.375,236.547294088,11922
284,ER-059,Memory,29,0.00060537742151,209.75862069,254.022447711,6083
285,ER-059,CookieTheft,155,0.000905913570001,300.658064516,231.868901571,46602
286,ER-059,PupilCalib,14,0.00123904770334,499.928571429,282.951603441,6999
287,ER-129,ER-129_allsc,51,0.000325884841243,211.764705882,185.09139237,10800
288,ER-129,Reading,11,0.000198936593482,145.454545455,82.0199532265,1600
289,ER-129,Memory,3,6.99317000396e-05,266.666666667,208.166599947,800
290,ER-129,CookieTheft,20,0.00041662326841,220.0,182.381901226,4400
291,ER-129,PupilCalib,17,0.00165064569376,235.294117647,231.68183051,4000
292,ER-167,ER-167_allsc,187,0.00103084258979,251.609625668,320.159826541,47051
293,ER-167,Reading,100,0.00104267675978,207.47,138.245313728,20747
294,ER-167,Memory,25,0.000902364194189,140.28,64.3891295173,3507
295,ER-167,CookieTheft,55,0.00117533924565,252.690909091,223.470345429,13898
296,ER-167,PupilCalib,7,0.000636479359884,1271.28571429,1048.35024591,8899
297,ET-090,ET-090_allsc,181,0.000827205462298,286.220994475,287.983016091,51806
298,ET-090,Reading,55,0.00106999727637,251.036363636,189.307017306,13807
299,ET-090,Memory,42,0.000621283393982,271.428571429,214.459859552,11400
300,ET-090,CookieTheft,78,0.000892468935216,262.705128205,265.919239228,20491
301,ET-090,PupilCalib,6,0.000483597968889,1018.0,682.483699439,6108
302,EU-015,EU-015_allsc,88,0.000425929421559,260.113636364,225.975506343,22890
303,EU-015,Reading,9,0.000150245400821,166.666666667,132.287565553,1500
